pubukprn,kismode,mytarsbj,title,kisaimcode,crseurl,legal_name,provaddress,A*A*A*A* and above,A*A*AC and above,A*A*A and above,AAA and above,ABB and above,BBC and above,CCC and above,Below CCC
10000961,01,CAH10-01-01,Product Design Engineering - integrated with Placement Year,053,https://www.brunel.ac.uk/study/undergraduate/product-design-engineering-bsc-mdes,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,2,8,14,18,15,15,23
10000961,01,CAH10-01-07,Civil Engineering,008,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,40,0,20,15,20,0
10000961,01,CAH10-01-07,Civil Engineering with Placement Year,008,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,40,0,20,15,20,0
10000961,01,CAH10-01-07,Civil Engineering - integrated,056,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,40,0,20,15,20,0
10000961,01,CAH10-01-07,Civil Engineering - integrated with Placement Year,056,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,40,0,20,15,20,0
10000961,01,NA,Industrial Design,000,https://www.brunel.ac.uk/study/undergraduate/industrial-design-ba-mdes,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,0,15,25,15,10,35
10000961,01,NA,Industrial Design with Placement Year,000,https://www.brunel.ac.uk/study/undergraduate/industrial-design-ba-mdes,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,10,25,25,25,0,10
10000961,01,CAH10-01-01,Industrial Design - integrated,053,https://www.brunel.ac.uk/study/undergraduate/industrial-design-ba-mdes,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,2,8,14,18,15,15,23
10000961,01,CAH10-01-01,Industrial Design - integrated with Placement Year,053,https://www.brunel.ac.uk/study/undergraduate/industrial-design-ba-mdes,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,2,8,14,18,15,15,23
10000961,01,CAH10-01-03,Automotive Engineering - integrated,056,http://www.brunel.ac.uk/study/undergraduate/Automotive-Engineering-MEng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,15,10,0,25,15,15,10
10000961,01,CAH10-01-03,Automotive Engineering - integrated with Placement Year,056,http://www.brunel.ac.uk/study/undergraduate/Automotive-Engineering-MEng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,15,10,0,25,15,15,10
10000961,01,CAH02-04,Nursing (Mental Health),021,http://www.brunel.ac.uk/study/undergraduate/nursing-mental-health-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,15,10,15,30,25,0
10000961,01,CAH10-01-04,Aerospace Engineering,008,http://www.brunel.ac.uk/study/undergraduate/Aerospace-Engineering-BEng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,10,20,20,20,15,5
10000961,01,CAH10-01-04,Aerospace Engineering with Placement Year,008,http://www.brunel.ac.uk/study/undergraduate/Aerospace-Engineering-BEng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,10,20,20,20,15,5
