Postcode,LAD.Code,LAD.Name,lat,lng
HR4 9HS,E06000019,"Herefordshire, County of",52.059549,-2.716004
W1S 1JY,E09000033,Westminster,51.513718,-0.14449
E1 1EW,E09000030,Tower Hamlets,51.516758,-0.067672
M16 0PU,NA,NA,NA,NA
PE1 4DZ,E06000031,Peterborough,52.586802,-0.230177
GL19 3BE,E07000080,Forest of Dean,51.904913,-2.310281
WD23 3DH,E07000098,Hertsmere,51.644188,-0.361838
OL6 9RL,E08000008,Tameside,53.492083,-2.075503
BS2 0QD,E06000023,"Bristol, City of",51.45078,-2.569753
BN1 3XG,E06000043,Brighton and Hove,50.825847,-0.14223
GL51 6SR,E07000083,Tewkesbury,51.892924,-2.157789
N7 7QP,E09000019,Islington,51.560837,-0.11441
NW1 4NS,E09000033,Westminster,51.525746,-0.155635
E1W 1UN,E09000030,Tower Hamlets,51.507316,-0.073707
M1 5BW,E08000003,Manchester,53.472598,-2.242874
ME4 4TB,E06000035,Medway,51.397232,0.539417
BN1 9PX,E06000043,Brighton and Hove,50.864243,-0.085665
